"UT","PT","TI","AF","CR","AU","SO","LA","DT","AB","RP","NR","TC","Z9","U1","U2","PU","PI","PA","SN","J9","JI","PD","PY","VL","IS","BP","EP","DI","PG","WC","SC","GA","DE","ID","C1","EM","AR","FU","FX","PM","EI","SI","BE","SE","CT","CY","CL","SP","HO","BN","PN","RI","OI","SU","GP","MA","BA","BF","numAuthors"
"WOS:000179214600005","J","'Men-ain't-all' - A reworking of masculinity in 'Tales from the Hood',|or, Grandma Meets the Zombie (African-American folklore, horror film,|Spike Lee)","Fulmer, J","ABBOTT SH, 1997, ROUGH CUT        MAY, V16|ABRAHAMS RD, 1985, AFRO-AM FOLKTALES ST|ANDERSON J, 1995, NEWSDAY          MAY, V30, P60|BASS R, 1990, MOTHER WIT LAUGHING|Benshoff HM, 2000, CINEMA J, V39, P31, DOI 10.1353/cj.2000.0001|Bogle Donald, 1994, TOMS COONS MULATTOES|Brown JA, 1999, AFR AM REV, V33, P25, DOI 10.2307/2901299|Brunvand Jan Harold, 1986, STUDY AM FOLKLORE|Clover Carol J., 1992, MEN WOMEN CHAINSAWS|Cripps Thomas, 1993, SLOW FADE BLACK NEGR, V2nd|DIAWARA M, 1999, FILM Q 40 YEARS SELE, P112|DUNDES A, 1999, INT FOLKLORISTICS|Dundes Alan, 1990, MOTHER WIT LAUGHING|GATES HL, 1994, TIME            1010|GORN EJ, 1989, CULTURE COMMUNITY SL, P113|Goss L, 1989, TALK THAT TALK ANTHO|Griffith's D. W., 1915, BIRTH NATION|Guerrero E., 1993, FRAMING BLACKNESS AF|HUGHES L, 1966, BOOK NEGRO FOLKLORE|Hurston Zora Neale, 1990, MULES MEN|JOYNER C, 1989, TRICKSTER FOOL FOLKT, P233|LEE S, 1995, TALES FROM HOOD|Levine Lawrence W., 1977, BLACK CULTURE BLACK|MORRISON T, 1992, RACE-ING JUSTICE EN-|ONEILL S, 1997, BOXOFFICE ONLINE APR|ROBERT SJW, 1989, TRICKSTER BADMAN BLA|ROGIN M, 1969, BLACKFACE WHITE NOIS|Rose B., 1992, CANDYMAN|SCHECHTER H, 1988, BOSONI SEPENT FOLKLO|TWITCHELL JB, 1958, DREADFUL PELASURES A|Van Peebles Melvin, 1971, SWEET SWEETBACKS BAA|YASALAAM K, 1995, BLACK MACHO MYTH POS","Fulmer, J","JOURNAL OF AMERICAN FOLKLORE","English","Article","In the 1995 horror film Tales from the Hood, director/screenwriter Rusty Cundieff and his company rework stereotypes of African American masculinity by borrowing elements from folklore. Influences on the movie from African American folklore--specifically ghost, trickster, and conjurer tales featuring the use of enchanted objects to exact vengeance--emphasize one's responsibility to the community, the weak overcoming the strong, and the wisdom of elders. Tales thereby questions and complicates previous binary depictions.","Fulmer, J (reprint author), Univ Calif Berkeley, Berkeley, CA 94720 USA.","32","1","1","1","1","AMER FOLKLORE SOC","ARLINGTON","4350 NORTH FAIRFAX DR, STE 640, ARLINGTON, VA 22203 USA","0021-8715","J AM FOLKLORE","J. Am. Folk.","SUM-FAL","2002","115","457","422","442","10.2307/4129188","21","Folklore","Arts & Humanities - Other Topics","614WN","","","Univ Calif Berkeley, Berkeley, CA 94720 USA.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000321526400024","J","How to Make a Zombie: The Real Life (and Death) Science of Reanimation|and Mind Control","Schama, Chloe","SWAIN F, MAKE ZOMBIE REAL LIF","Schama, C","SMITHSONIAN","English","Book Review","","","1","0","0","2","11","SMITHSONIAN ASSOC","WASHINGTON","900 JEFFERSON DR, WASHINGTON, DC 20560 USA","0037-7333","SMITHSONIAN","Smithsonian","JUL-AUG","2013","44","4","98","99","","2","Humanities, Multidisciplinary","Arts & Humanities - Other Topics","179NE","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000276620900004","J","Deprioritizing the A Priori Arguments Against Physicalism","Brown, Richard","Chalmers DJ, 2001, PHILOS REV, V110, P315, DOI 10.1215/00318108-110-3-315|Block N, 1999, PHILOS REV, V108, P1, DOI 10.2307/2998259|JACKSON F, 1986, J PHILOS, V83, P291, DOI 10.2307/2026143|BALOG K, ILLUMINATI ZOM UNPUB|BROWN R, 2006, PHILOS PSYCHOL, V19|Chalmers D. J., 2004, THERES SOMETHING MAR|Chalmers D. J., 2009, OXFORD HDB PHILOS MI|Chalmers DJ, 2003, BLACKWELL GUIDE PHIL|Chapman HR, 1999, BRIT DENT J, V187, P408, DOI 10.1038/sj.bdj.4800293|CHURCHLAND PM, 1989, NATURE CONSCIOUSNESS, P571|DEVITT M, NEW VIEWS P IN PRESS|Frankish K, 2007, PHILOS QUART, V57, P650, DOI 10.1111/j.1467-9213.2007.510.x|Grahek N., 2001, FEELING PAIN BEING P|Kripke S., 1980, NAMING NECESSITY|Martinez-Palomo A, 1998, PARASITOL TODAY, V14, P1, DOI 10.1016/S0169-4758(97)01176-9|Nagasawa Yujin, 2002, THEORIA-SPAIN, V68, P205|Needham P., 2002, INT STUDIES PHILOS S, V16, P205, DOI 10.1080/0269859022000013300|PICCININI G, 2006, TUCS 7 SCI CON UNPUB|Read J., 1995, ALCHEMY CHEM|Rosenthal David M., 2005, CONSCIOUSNESS MIND|Sturgeon S., 2000, MATTERS MIND CONSCIO","Brown, R","JOURNAL OF CONSCIOUSNESS STUDIES","English","Article","In this paper I argue that a priori arguments fail to present any real problem for physicalism. They beg the question against physicalism in the sense that the argument will only seem compelling if one is already assuming that qualitative properties are nonphysical. To show this I will present the reverse-zombie and reverse-knowledge arguments. The only evidence against physicalism is a priori arguments, but there are also a priori arguments against dualism of exactly the same variety. Each of these parity arguments has premises that are just as intuitively plausible, and it cannot be the case that both the traditional scenarios and the reverse-scenarios are all ideally conceivable. Given this one set must be merely prima facie conceivable and only empirical methods will tell us which is which. So, by the time a priori methodology will be of any use it will be too late.","Brown, R (reprint author), LaGuardia Community Coll, 31-10 Thomson Ave, Long Isl City, NY 11101 USA.","21","6","6","0","0","IMPRINT ACADEMIC","THORVERTON","PO BOX 1, THORVERTON EX5 5YX, ENGLAND","1355-8250","J CONSCIOUSNESS STUD","J. Conscious. Stud.","MAR-APR","2010","17","3-4","47","69","","23","Philosophy; Social Sciences, Interdisciplinary","Philosophy; Social Sciences - Other Topics","582TD","","CONCEPTUAL ANALYSIS","LaGuardia Community Coll, Long Isl City, NY 11101 USA.","onemorebrown@gmail.com","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000175011900011","J","Functionalism, zombies and the absence of a mental dictionary","Picha, M","SEARLE JR, 1980, BEHAV BRAIN SCI, V3, P417|Chalmers D. J., 1996, CONSCIOUS MIND SEARC|Dennett Daniel C., 1991, CONSCIOUSNESS EXPLAI|Flanagan O., 1995, J CONSCIOUSNESS STUD, V2, P313|Hvorecky J, 2001, FILOS CAS, V49, P403|KIRK R, 1974, MIND, V83, P60|Moody T, 1994, J CONSCIOUSNESS STUD, V1, P196","Picha, M","FILOSOFICKY CASOPIS","Czech","Editorial Material","","Picha, M (reprint author), Masaryk Univ, Filosoficka Fak, Brno, Czech Republic.","7","0","0","0","1","FILOSOFICKY CASOPIS INST PHILOSOPHY","PRAGUE","JILSKA 1, PRAGUE 110 00, CZECH REPUBLIC","0015-1831","FILOS CAS","Filos. Cas.","","2001","49","5","857","864","","8","Ethics; Philosophy","Social Sciences - Other Topics; Philosophy","541XM","","","Masaryk Univ, Filosoficka Fak, Brno, Czech Republic.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000287933300006","J","Hidden Diversity Behind the Zombie-Ant Fungus Ophiocordyceps|unilateralis: Four New Species Described from Carpenter Ants in Minas|Gerais, Brazil","Evans, Harry C.|Elliot, Simon L.|Hughes, David P.","EVANS HC, 1982, T BRIT MYCOL SOC, V79, P431|Sung GH, 2007, STUD MYCOL, P5, DOI 10.3114/sim.2007.57.01|Evans HC, 2010, FUNGAL BIOL-UK, V114, P451, DOI 10.1016/j.funbio.2010.03.007|Evans HC, 2002, TRICHOMYCETES OTHER, P119|EVANS HC, 1984, T BRIT MYCOL SOC, V82, P127|Hughes DP, 2009, ECOL ENTOMOL, V34, P214, DOI 10.1111/j.1365-2311.2008.01066.x|KOBAYASI Y., 1941, Science Reports of the Tokyo Bunrika Daigaku, V5, P53|MAINS EB, 1958, MYCOLOGIA, V50, P169, DOI 10.2307/3756193|PETCH T., 1931, Transactions of the British Mycological Society, V16, P55|SILVA GL, 2007, AN 8 C EC BRAS SOC E|Tulasne LR, 1865, SELECTA FUNGORUM CAR, P1|TZEAN SS, 1997, ATLAS ENTOMOPATHOGEN, P1","Evans, HC|Elliot, SL|Hughes, DP","PLOS ONE","English","Article","Background: Ophiocordyceps unilateralis (Clavicipitaceae: Hypocreales) is a fungal pathogen specific to ants of the tribe Camponotini (Formicinae: Formicidae) with a pantropical distribution. This so-called zombie or brain-manipulating fungus alters the behaviour of the ant host, causing it to die in an exposed position, typically clinging onto and biting into the adaxial surface of shrub leaves. We (HCE and DPH) are currently undertaking a worldwide survey to assess the taxonomy and ecology of this highly variable species.|Methods: We formally describe and name four new species belonging to the O. unilateralis species complex collected from remnant Atlantic rainforest in the south-eastern region (Zona da Mata) of the State of Minas Gerais, Brazil. Fully illustrated descriptions of both the asexual (anamorph) and sexual (teleomorph) stages are provided for each species. The new names are registered in Index Fungorum (registration. indexfungorum.org) and have received IF numbers. This paper is also a test case for the electronic publication of new names in mycology.|Conclusions: We are only just beginning to understand the taxonomy and ecology of the Ophiocordyceps unilateralis species complex associated with carpenter ants; macroscopically characterised by a single stalk arising from the dorsal neck region of the ant host on which the anamorph occupies the terminal region and the teleomorph occurs as lateral cushions or plates. Each of the four ant species collected - Camponotus rufipes, C. balzani, C. melanoticus and C. novogranadensis - is attacked by a distinct species of Ophiocordyceps readily separated using traditional micromorphology. The new taxa are named according to their ant host.","Evans, HC (reprint author), Univ Fed Vicosa, Dept Anim Biol, Minas Gerais, Brazil.","12","20","22","15","113","PUBLIC LIBRARY SCIENCE","SAN FRANCISCO","1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA","1932-6203","PLOS ONE","PLoS One","MAR 2","2011","6","3","","","10.1371/journal.pone.0017024","9","Multidisciplinary Sciences","Science & Technology - Other Topics","729FF","","TROPICAL FOREST ECOSYSTEMS; CORDYCEPS; COMPLEX; FORMICIDAE","[Evans, Harry C.; Elliot, Simon L.] Univ Fed Vicosa, Dept Anim Biol, Minas Gerais, Brazil.|[Evans, Harry C.] CAB Int, E UK, Surrey, England.|[Hughes, David P.] Penn State Univ, Dept Entomol, University Pk, PA 16802 USA.|[Hughes, David P.] Penn State Univ, Dept Biol, University Pk, PA 16802 USA.|[Hughes, David P.] Univ Exeter, Sch Biosci, Exeter, Devon, England.","h.evans@cabi.org; dhughes@psu.edu","e17024","Brazilian National Council for Research (CNPq) [401610/2009-8];|Individual International Marie Curie Fellowship [PIOF-GA-2008-221041]","When this study was undertaken, HCE was a visiting scientist at the|Postgraduate Programme in Entomology (UFV), whilst in receipt of a|scholarship from the Brazilian National Council for Research (CNPq,|grant no. 401610/2009-8). DPH was supported by an Individual|International Marie Curie Fellowship (PIOF-GA-2008-221041). The funders|had no role in study design, data collection and analysis, decision to|publish, or preparation of the manuscript.","21399679","","","","","","","","","","","","Elliot, Simon/A-5557-2013","","","","","","","3"
"WOS:000267073500004","J","THE TROUBLE WITH MARY","McGeer, Victoria","NAGEL T, 1974, PHILOS REV, V83, P435, DOI 10.2307/2183914|BLOCK N, 1995, BEHAV BRAIN SCI, V18, P227|JACKSON F, 1982, PHILOS QUART, V32, P127, DOI 10.2307/2960077|Block N, 1999, PHILOS REV, V108, P1, DOI 10.2307/2998259|Balog K, 1999, PHILOS REV, V108, P497, DOI 10.2307/2998286|JACKSON F, 1986, J PHILOS, V83, P291, DOI 10.2307/2026143|BLOCK N, 1990, BEHAV BRAIN SCI, V13, P596|BRADDONMITCHEL D, 1996, PHILOS MIND COGNITIO|CHALMERS D, 2000, ASPECTS CONSCIOUSNES|Chalmers D. J., 1996, CONSCIOUS MIND SEARC|CHOMSKY N, 1994, INT J PHILOS STUD, V2, P181, DOI 10.1080/09672559408570790|Dennett D, 2001, ROY I PH S, V48, P27, DOI 10.1017/S1358246100010687|Dennett Daniel C., 1991, CONSCIOUSNESS EXPLAI|Eccles J., 1994, SELF CONTROLS ITS BR|Ginn Col, 1999, MYSTERIOUS FLAME CON|Jackson Frank, 1998, MIND METHOD CONDITIO, P76|Levine J., 1993, CONSCIOUSNESS PSYCHO|LEVINE J, 1983, PAC PHILOS QUART, V64, P354|Lewis David, 1990, MIND COGNITION, P499|Nagel T, 1998, PHILOSOPHY, V73, P337, DOI 10.1017/S0031819198000035|Nemirow L., 1990, MIND COGNITION, P490","McGeer, V","PACIFIC PHILOSOPHICAL QUARTERLY","English","Article","Two arguments are famously held to support the conclusion that consciousness cannot be explained in purely physical or functional terms - hence, that physicalism is false: the modal argument and the knowledge argument. While anti-physicalists appeal to both arguments, this paper argues there is a methodological incoherence in jointly maintaining them: the modal argument supports the possibility of zombies; but the possibility of zombies undercuts the knowledge argument. At best, this leaves anti-physicalists in a considerably weakened rhetorical position. At worst, it shows that commonsense intuitions on which anti-physicalists rely mislead us about the true nature of conscious experience.","McGeer, V (reprint author), Australian Natl Univ, RSSS, Canberra, ACT 0200, Australia.","21","1","1","1","2","WILEY-BLACKWELL PUBLISHING, INC","MALDEN","COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA","0279-0750","PAC PHILOS QUART","Pac. Philos. Q.","DEC","2003","84","4","384","393","10.1046/j.1468-0114.2003.00180.x","10","Philosophy","Philosophy","459AY","","MIND-BODY PROBLEM; EXPLANATORY GAP; CONSCIOUSNESS; DUALISM; QUALIA","[McGeer, Victoria] Australian Natl Univ, RSSS, Canberra, ACT 0200, Australia.|[McGeer, Victoria] Simon Fraser Univ, Dept Philosophy, Burnaby, BC V5A 1S6, Canada.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000353463700006","S","Botnets tracking and global threat intelligence - Behavioral approaches|to identifying distributed botnets","Nazarov, Alexey","Kawaguchi Nobutaka, 2012, DRAFTRECOMMENDATION|KOPORULIN YUA, 2007, DOKLAD NA 6 Y MEZHDU, P4|Nazarov A., 2009, P DISTR COMP COMM NE, P154|Nazarov AN, 2007, AUTOMAT REM CONTR+, V68, P1165, DOI 10.1134/S0005117907070053|Nazarov A. N., 2010, TELECOMMUNICATIONS A, V69, P1453|Nazarov AN, 2010, AUTOMAT REM CONTR+, V71, P1550, DOI 10.1134/S0005117910080059","Nazarov, A","2012 THIRD WORLDWIDE CYBERSECURITY SUMMIT (WCS)","English","Proceedings Paper","Based on the analysis of the structure and function of the system requirements definition and counter botnets, including centralized organization developed logical-probabilistic risk models Bonet attacks.","Nazarov, A (reprint author), OJSC Intellect Telecom, Dept Tech Strategy, Moscow, Russia.","6","0","0","0","0","IEEE","NEW YORK","345 E 47TH ST, NEW YORK, NY 10017 USA","2330-569X","WORLD CYBERSECUR SUM","","","2012","","","","","","5","Computer Science, Theory & Methods","Computer Science","BC5PQ","botnet; function; security; information; probability; model; combat;|zombie; software; malicious; logical","LEVEL","OJSC Intellect Telecom, Dept Tech Strategy, Moscow, Russia.","a.nazarov06@bk.ru","","","","","","","","Worldwide Cybersecurity Summit","3rd Worldwide Cybersecurity Summit (WCS)","OCT 30-31, 2012","New Delhi, INDIA","","","","","","","","IEEE","","","","1"
"WOS:000305492300010","J","Thinking about Phenomenal Concepts","Malatesti, Luca","Alter Torin, 2007, PHENOMENAL CONCEPTS|Balog K, 2012, PHILOS PHENOMEN RES, V84, P1, DOI 10.1111/j.1933-1592.2011.00541.x|Chalmers DJ, 2001, PHILOS REV, V110, P315, DOI 10.1215/00318108-110-3-315|JACKSON F, 1982, PHILOS QUART, V32, P127, DOI 10.2307/2960077|Block N, 1999, PHILOS REV, V108, P1, DOI 10.2307/2998259|Diaz-Leon E, 2010, MIND, V119, P933, DOI 10.1093/mind/fzq073|Carruthers P, 2007, J CONSCIOUSNESS STUD, V14, P212|JACKSON F, 1986, J PHILOS, V83, P291, DOI 10.2307/2026143|Carruthers P., 2000, PHENOMENAL CONSCIOUS|Carruthers P, 2004, PHILOS PHENOMEN RES, V68, P316, DOI 10.1111/j.1933-1592.2004.tb00343.x|Chalmers D. J., 2007, PHENOMENAL CONCEPTS, P167|Chalmers D. J., 1996, CONSCIOUS MIND SEARC|Dennett D. C., 2007, PHENOMENAL CONCEPTS, P15|Hill CS, 1997, PHILOS STUD, V87, P61, DOI 10.1023/A:1017911200883|Hill CS, 1999, PHILOS PHENOMEN RES, V59, P445, DOI 10.2307/2653682|Ismael J, 1999, PHILOS SCI, V66, P351, DOI 10.1086/392692|Jackson F., 1994, PHILOS COGNITIVE SCI, P101|Jackson F., 2007, PHENOMENAL CONCEPTS, P52|Jackson F., 1998, METAPHYSICS ETHICS D|Jackson Frank, 1994, PHILOS MIND, P23|Kripke Saul, 1971, IDENTITY INDIVIDUATI, P135|Levine J., 2001, PURPLE HAZE PUZZLE C|Lewis David, 1990, MIND COGNITION, P499|Loar B., 1990, PHILOS PERSPECTIVES, V4, P81, DOI [10.2307/2214188, DOI 10.2307/2214188]|Malatesti L, 2008, TEOREMA, V27, P149|Papineau D., 2002, THINKING CONSCIOUSNE|Papineau D., 2007, PHENOMENAL CONCEPTS, P111|Perry J., 2001, KNOWLEDGE POSSIBILIT|Stoljar D., 2010, PHYSICALISM|Tye M., 2000, CONSCIOUSNESS COLOR|Tye M, 2009, REPRESENT MIND, P1","Malatesti, L","SYNTHESIS PHILOSOPHICA","English","Article","Frank Jackson's knowledge argument and different conceivability arguments, advanced by Saul Kripke, David Chalmers and Joseph Levine, conclude that consciousness involves non-physical properties or properties that cannot be reductively accounted for in physical terms. Some physicalists have replied to these objections by means of different versions of the phenomenal concept strategy. David Chalmers has responded with the master argument, a reasoning that, if successful, would undermine any reasonable version of the phenomenal concept strategy. In this paper, I argue that the master argument does not advance the debate between the supporters of the anti-physicalist arguments and those of the phenomenal concept strategy.","Malatesti, L (reprint author), Univ Rijeka, Fac Humanities & Social Sci, HR-51000 Rijeka, Croatia.","31","0","0","1","2","CROATIAN PHILOSOPHICAL SOC","ZAGREB","I LUCICA 3, ZAGREB, 10000, CROATIA","0352-7875","SYNTH PHILOS","Synth. Philos.","","2011","26","2","391","402","","12","Philosophy","Philosophy","961TL","consciousness; qualia; zombies; a posteriori physicalism; phenomenal|concept strategy; David Chalmers's master argument","","Univ Rijeka, Fac Humanities & Social Sci, HR-51000 Rijeka, Croatia.","lmalatesti@ffri.hr","","","","","","","","","","","","","","","","Malatesti, Luca/B-8498-2013","Malatesti, Luca/0000-0001-9911-0637","","","","","","1"
"WOS:000318696500053","J","Theories of International Politics and Zombies","Housenick, Christopher","Drezner D. W., 2011, THEORIES INT POLITIC","Housenick, C","POLITICAL STUDIES REVIEW","English","Book Review","","Housenick, C (reprint author), Arkansas Tech Univ, Russellville, AR 72801 USA.","1","0","0","2","6","WILEY-BLACKWELL","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","1478-9299","POLIT STUD REV","Polit. Stud. Rev.","MAY","2013","11","2","253","254","10.1111/1478-9302.12016_44","2","Political Science","Government & Law","141AB","","","[Housenick, Christopher] Arkansas Tech Univ, Russellville, AR 72801 USA.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000320016000005","J","Parables for the paranoid: affect and the war gothic","Hoglund, Johan Anders","Hemmings C, 2005, CULT STUD, V19, P548, DOI 10.1080/09502380500365473|Leys R, 2011, CRIT INQUIRY, V37, P434, DOI 10.1086/659353|Brantlinger Patrick, 1988, RULE DARKNESS BRIT L|Brown Georgia, 2004, REDEFINING ELIZABETH|Connery Jason, 2009, DEVILS TOMB|Deleuze G., 1983, ANTIOEDIPUS CAPITALI|Glickert Robert, 2009, ROAD MOLOCH|Leys R, 2007, 20 21, P1|MacCormack Patricia, 2008, CINESEXUALITY|Massumi B, 2002, PARABLES VIRTUAL MOV|Myrick Daniel, 2008, OBJECTIVE|Nealon C, 2007, AM LIT, V79, P227, DOI 10.1215/00029831-2006-095|Sedgwick Eve Kosofsky, 2003, TOUCHING FEELING AFF|Tomkins S. S., 1963, AFFECT IMAGERY CONSC, V2|Turner Alex, 2009, RED SANDS","Hoglund, JA","CONTINUUM-JOURNAL OF MEDIA & CULTURAL STUDIES","English","Article","This paper discusses a series of horror war films set during the US invasions of Afghanistan and Iraq with the help of the concept of affect as outlined by Eve Sedgwick and Brian Massumi. The films studied in this paper combine the zombie genre with the military invasion story so that monstrous affect is always produced against what is referred to as a super-political landscape. In analysing these films, the paper abandons the a priori expectation that the use of affect will produce a set of sane (non-paranoid), fostering and liberating possibilities. The general argument of the paper is instead that these films simultaneously induce interpretative paranoia and present the spectator with the possibility that the foundation for this paranoia is inherently unstable. Thus, the paper ultimately explores the usefulness of affect on material that appears to lend itself to the traditional deconstructive endeavour and discerns points of commonality between deconstruction and affect studies.","Hoglund, JA (reprint author), Linnaeus Univ, Dept Language, Kalmar, Sweden.","15","0","0","0","5","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND","1030-4312","CONTINUUM-J MEDIA CU","Continuum-J. Media Cult. Stud.","JUN 1","2013","27","3","397","407","10.1080/10304312.2013.772103","11","Cultural Studies; Communication; Film, Radio, Television","Cultural Studies; Communication; Film, Radio & Television","159AI","","","Linnaeus Univ, Dept Language, Kalmar, Sweden.","johan.hoglund@lnu.se","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000244438200002","J","Zombies, epiphenomenalism, and physicalist theories of consciousness","Bailey, Andrew","Block N, 1999, PHILOS REV, V108, P1, DOI 10.2307/2998259|Balog K, 1999, PHILOS REV, V108, P497, DOI 10.2307/2998286|JACKSON F, 1986, J PHILOS, V83, P291, DOI 10.2307/2026143|Armstrong D, 1968, MAT THEORY MIND|BLOCK N, 1981, PHILOS REV, V90, P5, DOI 10.2307/2184371|BLOCK N, 1980, PHILOS REV, V89, P257, DOI 10.2307/2184650|Block Ned, 1997, NATURE CONSCIOUSNESS, V4|Braddon-Mitchell D, 2003, J PHILOS, V100, P111|Brueckner A, 2001, ANALYSIS, V61, P187, DOI 10.1111/1467-8284.00293|Campbell K., 1970, BODY MIND|Caruthers Peter, 2000, PHENOMENAL CONSCIOUS|CHALMERS DJ, 1993, BEHAV BRAIN SCI, V16, P35|Chalmers DJ, 2004, PHILOS PHENOMEN RES, V68, P182, DOI 10.1111/j.1933-1592.2004.tb00334.x|Chalmers D, 1999, PHILOS PHENOMEN RES, V59, P473, DOI 10.2307/2653685|Chalmers David, 2003, CONSCIOUSNESS NEW PH, P220|Chalmers David J., 2002, CONCEIVABILITY POSSI, P145|Chalmers David J., 1996, CONSCIOUS MIND|Cottrell A., 1999, J CONSCIOUSNESS STUD, V6, P4|Dietrich E, 2001, SYNTHESE, V126, P361, DOI 10.1023/A:1005270501025|Dretske F., 2003, PRIVILEGED ACCESS PH, P1|ELITZUR A, 1995, J CONSCIOUNESS STUDI, V2, P353|Flanagan O., 1991, SCI MIND|FLANAGAN O, 1995, J CONSCIOUSNESS STUD, V2, P312|Gendler Tamar Szabo, 2002, CONCEIVABILITY POSSI|Guzeldere G, 1995, J CONSCIOUSNESS STUD, V2, P326|Hawthorne J, 2002, PHILOS STUD, V109, P17, DOI 10.1023/A:1015731311853|Huxley Thomas H., 1874, FORTNIGHTLY REV, V16, P555|James William, 1879, MIND, V4, P1, DOI DOI 10.1093/MIND/OS-4.13.1|Kirk R., 2003, STANFORD ENCY PHILOS|Kirk R., 1999, ARISTOTELIAN SOC S, V73, P1, DOI 10.1111/1467-8349.00046|KIRK R, 1974, ARISTOTELIAN SOC S, V48, P135|KIRK R, 1974, MIND, V83, P43|Levine J, 1998, NOUS, V32, P449, DOI 10.1111/0029-4624.00134|Levine J., 2001, PURPLE HAZE PUZZLE C|LEWIS D, 1972, READINGS PHILOS PSYC, V1, P207|LYCAN W, 1987, CONSCIOUNESS|Marcus E, 2004, AUSTRALAS J PHILOS, V82, P477, DOI 10.1080/713659880|Moody T, 1994, J CONSCIOUSNESS STUD, V1, P196|Perry J., 2001, KNOWLEDGE POSSIBILIT|POLGER TW, 2000, DENNETTS PHILOS COMP, P259|Popper K. R, 1977, SELF ITS BRAIN|Shoemaker S, 1999, PHILOS PHENOMEN RES, V59, P439, DOI 10.2307/2653681|SHOEMAKER S, 1981, PHILOS REV, V90, P581, DOI 10.2307/2184608|Shoemaker Sydney, 1975, PHILOS STUD, V27, P291, DOI 10.1007/BF01225748|Stalnaker R., 2002, CONCEIVABILITY POSSI, P385|Stout G.F., 1931, MIND MATTER|YABLO S, 1993, PHILOS PHENOMEN RES, V53, P1, DOI 10.2307/2108052","Bailey, A","CANADIAN JOURNAL OF PHILOSOPHY","English","Article","","Bailey, A (reprint author), Univ Guelph, Guelph, ON N1G 2W1, Canada.","47","5","5","0","1","UNIV CALGARY PRESS","CALGARY","2500 UNIVERSITY DR NW, CALGARY, ALBERTA T2N 1N4, CANADA","0045-5091","CAN J PHILOS","Can. J. Philos.","DEC","2006","36","4","481","509","10.1353/cjp.2007.0000","29","Philosophy","Philosophy","139NG","","ABSENT QUALIA; CONCEIVABILITY; METAPHYSICS; DUALISM; MIND","Univ Guelph, Guelph, ON N1G 2W1, Canada.","","","","","","","","","","","","","","","","","Bailey, Andrew/A-1058-2008","","","","","","","1"
